Year,LocationAbbr,LocationDesc,GeographicLevel,DataSource,Class,Topic,Data_Value,Data_Value_Unit,Data_Value_Type,Data_Value_Footnote_Symbol,Data_Value_Footnote,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,TopicID,LocationID,Y_lat,X_lon,Georeference
2020,AS,American Samoa County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,Black,T2,60000,-14.30175426,-170.7194738,POINT (-170.7194738 -14.30175426)
2020,ND,North Dakota,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Asian,T2,38,47.4471,-100.47,POINT (-100.47 47.4471)
2020,PA,Pennsylvania,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,616,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Black,T2,42,40.8749,-77.8022,POINT (-77.8022 40.8749)
2020,CA,California,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,229.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Hispanic,T2,06,37.2414,-119.601,POINT (-119.601 37.2414)
2020,IA,Iowa,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,190.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Asian,T2,19,42.076,-93.5022,POINT (-93.5022 42.076)
2020,HI,Hawaii,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,291.8,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,More than one race,T2,15,20.2408,-156.326,POINT (-156.326 20.2408)
2020,RI,Rhode Island,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,248.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,White,T2,44,41.682,-71.5617,POINT (-71.5617 41.682)
2020,GA,Georgia,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,111.4,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Hispanic,T2,13,32.6549,-83.4547,POINT (-83.4547 32.6549)
2020,HI,Hawaii,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,327.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Overall,T2,15,20.2408,-156.326,POINT (-156.326 20.2408)
2020,GU,Guam,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Overall,Race/Ethnicity,Black,T2,66,13.4431,144.777,POINT (144.777 13.4431)
2020,FL,Florida,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,162.6,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,More than one race,T2,12,28.6588,-82.497,POINT (-82.497 28.6588)
2020,CO,Colorado,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,256.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,White,T2,08,38.997,-105.549,POINT (-105.549 38.997)
2020,ID,Idaho,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,Black,T2,16,44.3858,-114.661,POINT (-114.661 44.3858)
2020,ME,Maine,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Asian,T2,23,45.3889,-69.2349,POINT (-69.2349 45.3889)
2020,MA,Massachusetts,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,166.8,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Hispanic,T2,25,42.2573,-71.8024,POINT (-71.8024 42.2573)
2020,MI,Michigan,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,329.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Hispanic,T2,26,44.3371,-85.4387,POINT (-85.4387 44.3371)
2020,TX,Van Zandt County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,48467,32.56950238,-95.83639752,POINT (-95.83639752 32.56950238)
2020,TX,Washington County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,48477,30.21899722,-96.40611573,POINT (-96.40611573 30.21899722)
2020,TX,Ward County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,48475,31.51351195,-103.1002619,POINT (-103.1002619 31.51351195)
2020,TX,Upton County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,48461,31.37029441,-102.0382816,POINT (-102.0382816 31.37029441)
2020,TX,Victoria County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,48469,28.79618044,-96.9724298,POINT (-96.9724298 28.79618044)
2020,TX,Uvalde County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,48463,29.35915788,-99.76531845,POINT (-99.76531845 29.35915788)
2020,TX,Walker County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,48471,30.746612,-95.57370219,POINT (-95.57370219 30.746612)
2020,TX,Val Verde County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,48465,29.89227996,-101.1472352,POINT (-101.1472352 29.89227996)
2020,TX,Waller County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,48473,30.01209539,-95.9936802,POINT (-95.9936802 30.01209539)
2020,TX,Bell County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,171.1,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,Asian,T2,48027,31.04559798,-97.48227324,POINT (-97.48227324 31.04559798)
2020,US,United States,Nation,NVSS,Cardiovascular Diseases,Heart Disease Mortality,260.1,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,White,T2,0,,,
2020,VI,Virgin Islands of the U.S.,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,222.9,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,Overall,T2,78,17.9473,-64.8015,POINT (-64.8015 17.9473)
2020,WA,San Juan County,County,NVSS,Cardiovascular Diseases,Heart Disease Mortality,138.3,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate",,,Sex,Female,Race/Ethnicity,Hispanic,T2,53055,48.53598644,-123.0824477,POINT (-123.0824477 48.53598644)
2020,WY,Wyoming,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,543.5,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Male,Race/Ethnicity,American Indian or Alaska Native,T2,56,42.9984,-107.552,POINT (-107.552 42.9984)
2020,WY,Wyoming,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Female,Race/Ethnicity,Asian,T2,56,42.9984,-107.552,POINT (-107.552 42.9984)
2020,WY,Wyoming,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,,"per 100,000 population","Age-adjusted, 3-year Average Rate",~,Insufficient Data,Sex,Male,Race/Ethnicity,More than one race,T2,56,42.9984,-107.552,POINT (-107.552 42.9984)
2020,WY,Wyoming,State,NVSS,Cardiovascular Diseases,Heart Disease Mortality,358.2,"per 100,000 population","Age-adjusted, 3-year Average Rate",,,Sex,Overall,Race/Ethnicity,American Indian or Alaska Native,T2,56,42.9984,-107.552,POINT (-107.552 42.9984)
